Dataset,Model,n_neighbors,weights,metric,predict_accuracy,predict_f1,predict_precision,predict_recall
toxigen,bart-large,301,distance,cosine,0.8095744680851064,0.690846286701209,0.704225352112676,0.6779661016949152
toxigen,bart-large,401,uniform,minkowski,0.8159574468085107,0.6813996316758748,0.6514084507042254,0.7142857142857143
toxigen,bart-large,401,uniform,cosine,0.8106382978723404,0.693103448275862,0.7077464788732394,0.6790540540540541
toxigen,bart-large,401,distance,minkowski,0.8159574468085107,0.6813996316758748,0.6514084507042254,0.7142857142857143
toxigen,bart-large,401,distance,cosine,0.8106382978723404,0.693103448275862,0.7077464788732394,0.6790540540540541
toxigen,bart-large,501,uniform,minkowski,0.8180851063829787,0.6839186691312384,0.6514084507042254,0.7198443579766537
toxigen,bart-large,501,uniform,cosine,0.8106382978723404,0.693103448275862,0.7077464788732394,0.6790540540540541
toxigen,bart-large,501,distance,minkowski,0.8180851063829787,0.6839186691312384,0.6514084507042254,0.7198443579766537
toxigen,bart-large,501,distance,cosine,0.8106382978723404,0.693103448275862,0.7077464788732394,0.6790540540540541
toxigen,bart-large,601,uniform,minkowski,0.8159574468085107,0.6802218114602587,0.647887323943662,0.7159533073929961
toxigen,bart-large,601,uniform,cosine,0.8095744680851064,0.6919104991394148,0.7077464788732394,0.6767676767676768
toxigen,bart-large,601,distance,minkowski,0.8170212765957446,0.6826568265682658,0.6514084507042254,0.7170542635658915
toxigen,bart-large,601,distance,cosine,0.8106382978723404,0.693103448275862,0.7077464788732394,0.6790540540540541
toxigen,bart-large,701,uniform,minkowski,0.8180851063829787,0.6839186691312384,0.6514084507042254,0.7198443579766537
toxigen,bart-large,701,uniform,cosine,0.8095744680851064,0.6919104991394148,0.7077464788732394,0.6767676767676768
toxigen,bart-large,701,distance,minkowski,0.8170212765957446,0.6826568265682658,0.6514084507042254,0.7170542635658915
toxigen,bart-large,701,distance,cosine,0.8095744680851064,0.6919104991394148,0.7077464788732394,0.6767676767676768
toxigen,bart-large,801,uniform,minkowski,0.8191489361702128,0.6851851851851851,0.6514084507042254,0.72265625
toxigen,bart-large,801,uniform,cosine,0.8095744680851064,0.6919104991394148,0.7077464788732394,0.6767676767676768
toxigen,bart-large,801,distance,minkowski,0.8191489361702128,0.6851851851851851,0.6514084507042254,0.72265625
toxigen,bart-large,801,distance,cosine,0.8095744680851064,0.6919104991394148,0.7077464788732394,0.6767676767676768
toxigen,bart-large,901,uniform,minkowski,0.8191489361702128,0.6840148698884759,0.647887323943662,0.7244094488188977
toxigen,bart-large,901,uniform,cosine,0.8095744680851064,0.6919104991394148,0.7077464788732394,0.6767676767676768
toxigen,bart-large,901,distance,minkowski,0.8180851063829787,0.6827458256029684,0.647887323943662,0.7215686274509804
toxigen,bart-large,901,distance,cosine,0.8095744680851064,0.6919104991394148,0.7077464788732394,0.6767676767676768
toxigen,bart-large,1001,uniform,minkowski,0.8170212765957446,0.6791044776119404,0.6408450704225352,0.7222222222222222
toxigen,bart-large,1001,uniform,cosine,0.8085106382978723,0.690721649484536,0.7077464788732394,0.674496644295302
toxigen,bart-large,1001,distance,minkowski,0.8159574468085107,0.6778398510242085,0.6408450704225352,0.7193675889328063
toxigen,bart-large,1001,distance,cosine,0.8095744680851064,0.6919104991394148,0.7077464788732394,0.6767676767676768
toxigen,deberta-large,1,uniform,minkowski,0.8308510638297872,0.7050092764378478,0.6690140845070423,0.7450980392156863
toxigen,deberta-large,1,uniform,cosine,0.8351063829787234,0.716636197440585,0.6901408450704225,0.7452471482889734
toxigen,deberta-large,1,distance,minkowski,0.8308510638297872,0.7050092764378478,0.6690140845070423,0.7450980392156863
toxigen,deberta-large,1,distance,cosine,0.8351063829787234,0.716636197440585,0.6901408450704225,0.7452471482889734
toxigen,deberta-large,3,uniform,minkowski,0.8382978723404255,0.7185185185185184,0.6830985915492958,0.7578125
toxigen,deberta-large,3,uniform,cosine,0.8372340425531914,0.7192660550458715,0.6901408450704225,0.7509578544061303
toxigen,deberta-large,3,distance,minkowski,0.8414893617021276,0.7225325884543762,0.6830985915492958,0.766798418972332
toxigen,deberta-large,3,distance,cosine,0.8382978723404255,0.7185185185185184,0.6830985915492958,0.7578125
toxigen,deberta-large,5,uniform,minkowski,0.8372340425531914,0.7171903881700554,0.6830985915492958,0.754863813229572
toxigen,deberta-large,5,uniform,cosine,0.8329787234042553,0.7129798903107861,0.6866197183098591,0.7414448669201521
toxigen,deberta-large,5,distance,minkowski,0.8361702127659575,0.7148148148148147,0.6795774647887324,0.75390625
toxigen,deberta-large,5,distance,cosine,0.8351063829787234,0.712430426716141,0.676056338028169,0.7529411764705882
toxigen,deberta-large,7,uniform,minkowski,0.8287234042553191,0.7012987012987012,0.6654929577464789,0.7411764705882353
toxigen,deberta-large,7,uniform,cosine,0.8340425531914893,0.7173913043478262,0.6971830985915493,0.7388059701492538
toxigen,deberta-large,7,distance,minkowski,0.8276595744680851,0.6988847583643123,0.6619718309859155,0.7401574803149606
toxigen,deberta-large,7,distance,cosine,0.8361702127659575,0.717948717948718,0.6901408450704225,0.7480916030534351
toxigen,deberta-large,9,uniform,minkowski,0.8265957446808511,0.6987060998151571,0.6654929577464789,0.7354085603112841
toxigen,deberta-large,9,uniform,cosine,0.8308510638297872,0.7124773960216998,0.6936619718309859,0.7323420074349443
toxigen,deberta-large,9,distance,minkowski,0.824468085106383,0.6950092421441774,0.6619718309859155,0.7315175097276264
toxigen,deberta-large,9,distance,cosine,0.8329787234042553,0.7140255009107468,0.6901408450704225,0.7396226415094339
toxigen,deberta-large,11,uniform,minkowski,0.824468085106383,0.6961325966850829,0.6654929577464789,0.7297297297297297
toxigen,deberta-large,11,uniform,cosine,0.8287234042553191,0.70990990990991,0.6936619718309859,0.7269372693726938
toxigen,deberta-large,11,distance,minkowski,0.823404255319149,0.6937269372693726,0.6619718309859155,0.7286821705426356
toxigen,deberta-large,11,distance,cosine,0.8308510638297872,0.7114337568058076,0.6901408450704225,0.7340823970037453
toxigen,deberta-large,101,uniform,minkowski,0.8191489361702128,0.6851851851851851,0.6514084507042254,0.72265625
toxigen,deberta-large,101,uniform,cosine,0.8223404255319149,0.6990990990990992,0.6830985915492958,0.7158671586715867
toxigen,deberta-large,101,distance,minkowski,0.8191489361702128,0.6840148698884759,0.647887323943662,0.7244094488188977
toxigen,deberta-large,101,distance,cosine,0.823404255319149,0.6992753623188406,0.6795774647887324,0.7201492537313433
toxigen,deberta-large,201,uniform,minkowski,0.8223404255319149,0.6924493554327809,0.6619718309859155,0.7258687258687259
toxigen,deberta-large,201,uniform,cosine,0.823404255319149,0.7056737588652483,0.7007042253521126,0.7107142857142857
toxigen,deberta-large,201,distance,minkowski,0.8212765957446808,0.6900369003690037,0.6584507042253521,0.7248062015503876
toxigen,deberta-large,201,distance,cosine,0.825531914893617,0.708185053380783,0.7007042253521126,0.7158273381294964
toxigen,deberta-large,301,uniform,minkowski,0.8191489361702128,0.6886446886446885,0.6619718309859155,0.7175572519083969
toxigen,deberta-large,301,uniform,cosine,0.823404255319149,0.7077464788732394,0.7077464788732394,0.7077464788732394
toxigen,deberta-large,301,distance,minkowski,0.8202127659574469,0.689908256880734,0.6619718309859155,0.7203065134099617
toxigen,deberta-large,301,distance,cosine,0.823404255319149,0.7077464788732394,0.7077464788732394,0.7077464788732394
toxigen,deberta-large,401,uniform,minkowski,0.8212765957446808,0.6934306569343066,0.6690140845070423,0.7196969696969697
toxigen,deberta-large,401,uniform,cosine,0.824468085106383,0.712041884816754,0.7183098591549296,0.7058823529411765
toxigen,deberta-large,401,distance,minkowski,0.8212765957446808,0.6934306569343066,0.6690140845070423,0.7196969696969697
toxigen,deberta-large,401,distance,cosine,0.823404255319149,0.7087719298245614,0.7112676056338029,0.7062937062937062
toxigen,deberta-large,501,uniform,minkowski,0.8202127659574469,0.6943942133815552,0.676056338028169,0.7137546468401487
toxigen,deberta-large,501,uniform,cosine,0.823404255319149,0.71280276816609,0.7253521126760564,0.7006802721088435
toxigen,deberta-large,501,distance,minkowski,0.8202127659574469,0.6943942133815552,0.676056338028169,0.7137546468401487
toxigen,deberta-large,501,distance,cosine,0.8223404255319149,0.7095652173913043,0.7183098591549296,0.7010309278350515
toxigen,deberta-large,601,uniform,minkowski,0.8223404255319149,0.6990990990990992,0.6830985915492958,0.7158671586715867
toxigen,deberta-large,601,uniform,cosine,0.8276595744680851,0.7226027397260275,0.7429577464788732,0.7033333333333334
toxigen,deberta-large,601,distance,minkowski,0.8223404255319149,0.6990990990990992,0.6830985915492958,0.7158671586715867
toxigen,deberta-large,601,distance,cosine,0.8265957446808511,0.7204116638078901,0.7394366197183099,0.7023411371237458
toxigen,deberta-large,701,uniform,minkowski,0.8202127659574469,0.6965888689407541,0.6830985915492958,0.7106227106227107
toxigen,deberta-large,701,uniform,cosine,0.8265957446808511,0.7223168654173765,0.7464788732394366,0.6996699669966997
toxigen,deberta-large,701,distance,minkowski,0.8212765957446808,0.697841726618705,0.6830985915492958,0.7132352941176471
toxigen,deberta-large,701,distance,cosine,0.8265957446808511,0.7213675213675215,0.7429577464788732,0.7009966777408638
toxigen,deberta-large,801,uniform,minkowski,0.8212765957446808,0.6989247311827957,0.6866197183098591,0.7116788321167883
toxigen,deberta-large,801,uniform,cosine,0.8265957446808511,0.7223168654173765,0.7464788732394366,0.6996699669966997
toxigen,deberta-large,801,distance,minkowski,0.8202127659574469,0.6965888689407541,0.6830985915492958,0.7106227106227107
toxigen,deberta-large,801,distance,cosine,0.8265957446808511,0.7223168654173765,0.7464788732394366,0.6996699669966997
toxigen,deberta-large,901,uniform,minkowski,0.8212765957446808,0.6989247311827957,0.6866197183098591,0.7116788321167883
toxigen,deberta-large,901,uniform,cosine,0.8265957446808511,0.7223168654173765,0.7464788732394366,0.6996699669966997
toxigen,deberta-large,901,distance,minkowski,0.8223404255319149,0.7001795332136445,0.6866197183098591,0.7142857142857143
toxigen,deberta-large,901,distance,cosine,0.8265957446808511,0.7223168654173765,0.7464788732394366,0.6996699669966997
toxigen,deberta-large,1001,uniform,minkowski,0.8223404255319149,0.7001795332136445,0.6866197183098591,0.7142857142857143
toxigen,deberta-large,1001,uniform,cosine,0.825531914893617,0.7210884353741497,0.7464788732394366,0.6973684210526315
toxigen,deberta-large,1001,distance,minkowski,0.8223404255319149,0.7001795332136445,0.6866197183098591,0.7142857142857143
toxigen,deberta-large,1001,distance,cosine,0.8265957446808511,0.7223168654173765,0.7464788732394366,0.6996699669966997
toxigen,flan-t5-large,1,uniform,minkowski,0.7957446808510639,0.6470588235294118,0.6197183098591549,0.676923076923077
toxigen,flan-t5-large,1,uniform,cosine,0.8031914893617021,0.6580406654343808,0.6267605633802817,0.6926070038910506
toxigen,flan-t5-large,1,distance,minkowski,0.7957446808510639,0.6470588235294118,0.6197183098591549,0.676923076923077
toxigen,flan-t5-large,1,distance,cosine,0.8031914893617021,0.6580406654343808,0.6267605633802817,0.6926070038910506
toxigen,flan-t5-large,3,uniform,minkowski,0.8117021276595745,0.6691588785046728,0.6302816901408451,0.7131474103585658
toxigen,flan-t5-large,3,uniform,cosine,0.8223404255319149,0.6866791744840526,0.6443661971830986,0.7349397590361446
toxigen,flan-t5-large,3,distance,minkowski,0.8127659574468085,0.6716417910447761,0.6338028169014085,0.7142857142857143
toxigen,flan-t5-large,3,distance,cosine,0.823404255319149,0.6856060606060606,0.6373239436619719,0.7418032786885246
toxigen,flan-t5-large,5,uniform,minkowski,0.8095744680851064,0.6590476190476191,0.6091549295774648,0.7178423236514523
toxigen,flan-t5-large,5,uniform,cosine,0.8095744680851064,0.6629001883239171,0.6197183098591549,0.7125506072874493
toxigen,flan-t5-large,5,distance,minkowski,0.8106382978723404,0.6615969581749049,0.6126760563380281,0.71900826446281
toxigen,flan-t5-large,5,distance,cosine,0.8127659574468085,0.6666666666666666,0.6197183098591549,0.7213114754098361
toxigen,flan-t5-large,7,uniform,minkowski,0.8138297872340425,0.6691871455576559,0.6232394366197183,0.7224489795918367
toxigen,flan-t5-large,7,uniform,cosine,0.8127659574468085,0.6666666666666666,0.6197183098591549,0.7213114754098361
toxigen,flan-t5-large,7,distance,minkowski,0.8138297872340425,0.6679316888045541,0.6197183098591549,0.7242798353909465
toxigen,flan-t5-large,7,distance,cosine,0.8180851063829787,0.6742857142857143,0.6232394366197183,0.7344398340248963
toxigen,flan-t5-large,9,uniform,minkowski,0.8138297872340425,0.6691871455576559,0.6232394366197183,0.7224489795918367
toxigen,flan-t5-large,9,uniform,cosine,0.8127659574468085,0.6679245283018868,0.6232394366197183,0.7195121951219512
toxigen,flan-t5-large,9,distance,minkowski,0.8159574468085107,0.6717267552182163,0.6232394366197183,0.7283950617283951
toxigen,flan-t5-large,9,distance,cosine,0.8170212765957446,0.6730038022813688,0.6232394366197183,0.731404958677686
toxigen,flan-t5-large,11,uniform,minkowski,0.8127659574468085,0.6679245283018868,0.6232394366197183,0.7195121951219512
toxigen,flan-t5-large,11,uniform,cosine,0.8106382978723404,0.6641509433962264,0.6197183098591549,0.7154471544715447
toxigen,flan-t5-large,11,distance,minkowski,0.8148936170212766,0.6704545454545453,0.6232394366197183,0.7254098360655737
toxigen,flan-t5-large,11,distance,cosine,0.8148936170212766,0.6692015209125475,0.6197183098591549,0.7272727272727273
toxigen,flan-t5-large,101,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,101,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,101,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,101,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,201,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,201,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,201,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,201,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,301,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,301,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,301,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,301,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,401,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,401,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,401,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,401,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,501,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,501,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,501,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,501,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,601,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,601,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,601,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,601,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,701,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,701,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,701,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,701,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,801,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,801,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,801,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,801,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,901,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,901,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,901,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,901,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,1001,uniform,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,1001,uniform,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,1001,distance,minkowski,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
toxigen,flan-t5-large,1001,distance,cosine,0.8117021276595745,0.661567877629063,0.6091549295774648,0.7238493723849372
